pdf,month,sex_analysis,sex_aware_level,title_keywords,sex_keywords,n_keywords
Alzheimer s   Dementia - 2025 - Zahra - In an older‐age vascular cohort  carotid stenosis is associated with processing.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2024 - Dintica - Life s Essential 8 and midlife trajectories in cognition and brain health  The.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2024 - Kantarci - Premenopausal bilateral oophorectomy and Alzheimer s disease imaging biomarkers.pdf,November,Yes,sex-aware consideration,none,estrogen; menopause; sex-specific,3
Alzheimer s   Dementia - 2025 - Abhyankar - Retinal dysfunction in APOE4 knock‐in mouse model of Alzheimer s disease.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Acharya - Sex‐stratified genome‐wide meta‐analysis identifies novel loci for cognitive.pdf,November,Yes,sex-aware main focus,sex,female-specific; male-specific; sex; sex differences; sex interaction; sex specific; sex-specific; sex-stratified; sex-stratified analysis,9
Alzheimer s   Dementia - 2025 - Ashton - The Alzheimer s Association Global Biomarker Standardization Consortium  GBSC .pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Benussi - Plasma p‐tau217 and neurofilament p‐tau217 ratio in differentiating Alzheimer s.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Biswas - Association of late‐life variability in hemoglobin A1C with postmortem.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bondonno - Source‐specific nitrate intake and incident dementia in the Danish Diet  Cancer.pdf,November,Yes,sex-aware consideration,none,stratified by sex,1
Alzheimer s   Dementia - 2025 - Brodman - Plasma biomarkers  brain amyloid‐beta pathology  and cortical thickness in a.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cary - Integrated phenotypic and proteomic screening identifies top‐tier Alzheimer s.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Castellano - APOE  ABCA7  and RASGEF1C are associated with earlier onset of amyloid.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Accelerometer‐measured weekend catch‐up sleep and incident dementia  A prospective.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cheng - The associations between midlife neighborhood socioeconomic conditions and.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Coley - Searching for responders to multidomain dementia prevention in late life  A pooled.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Colloby - Cerebral metabolic covariance in delirium  pattern response to symptomatic.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Counts - Posterior cingulate cortex microRNA dysregulation differentiates cognitive.pdf,November,Yes,sex-aware consideration,none,estrogen; sex-specific,2
Alzheimer s   Dementia - 2025 - Datta - The etiology and prevention of early‐stage tau pathology in higher cortical.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Dellarole - Detection of TDP‐43 seeds in CSF of presymptomatic and symptomatic genetic FTD.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Fang - Detecting Alzheimer s disease using digital virtual reality cognitive tests.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Galvin - Phase 2 study of zervimesine  CT1812  in participants with mild‐to‐moderate.pdf,November,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Genius - Compositional brain scores capture Alzheimer s disease specific structural brain.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - He - Development of language composites for enhanced sensitivity to multiple plasma.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Janve - Blood gene expression network expression strongly relates to brain amyloid burden.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Jauregi‐Zinkunegi - Menopausal hormone therapy is associated with worse levels of Alzheimer.pdf,November,Yes,sex-aware consideration,none,estrogen; menopause; sex differences,3
Alzheimer s   Dementia - 2025 - Jiang - Malnutrition exacerbating neuropsychiatric symptoms on the Alzheimer s continuum is.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Jin - Association of rapid eye movement sleep latency with multimodal biomarkers of.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kang - Intracranial stenosis and longitudinal progression of Alzheimer s disease.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kemna - Acute effects of lactate infusion on metabolism  AD biomarkers  and cognition  The.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Khachaturian - Perspective  Emerging challenges for a future ADNI.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kranz - Identification of a glia‐associated amyloid   oligomer subtype and the rescue from.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Li - Estimated pulse wave velocity associated with cognitive phenotypes in a rural older.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lin - White matter hyperintensity modulates the amyloid‐tau‐cognition association and.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liou - A neuropathology case report of a woman with Down syndrome who remained cognitively.pdf,November,Yes,sex-aware main focus,woman,woman,1
Alzheimer s   Dementia - 2025 - Liu - Apolipoprotein E  4 homozygosity exacerbates retinal and cerebral microvascular.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liu - Avoiding causal fraud in the evaluation of clinical benefits of treatments for.pdf,November,Yes,sex-aware consideration,none,sex interaction,1
Alzheimer s   Dementia - 2025 - Lorenz - AD‐related plasma biomarkers in centenarians  links to cognition and.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lynch - ABBV‐552 in patients with mild Alzheimer s disease  a randomized phase IIb trial.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Madrid - Whole genome methylation sequencing in blood from persons with mild cognitive.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Montagnese - Structural similarity networks reveal brain vulnerability in dementia.pdf,November,Yes,sex-aware consideration,none,sex interaction; sex specific; sex-specific; sex-stratified,4
Alzheimer s   Dementia - 2025 - Mundada - Enrichment of patients with concomitant limbic‐predominant age‐related TDP‐43.pdf,November,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Ning - Accelerometer‐measured physical activity timing with incident dementia.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pan - Plasma P‐tau217  GFAP  and NfL as biomarkers for Alzheimer s disease  role in disease.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Páez - Sleep spindles and slow oscillations predict cognition and biomarkers of.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Qin - The genetic landscape of early‐onset Alzheimer s disease in China.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rabl - Cerebrospinal fluid proteome alterations related to depressive symptoms in cognitive.pdf,November,Yes,sex-aware consideration,none,stratified by sex,1
Alzheimer s   Dementia - 2025 - Raeesi - Vascular risk factors mediate the relationship between education and white matter.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rajmohan - Vascular risk factors and cerebrovascular pathologic changes on autopsy  The 90 .pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rhodes - Virginia Memory Project  Using the Healthy Brain Initiative Roadmap to design a.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rikken - Characterizing visual read tau‐PET‐negative participants with Alzheimer s disease.pdf,November,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Rocha - Mapping reactive astrogliosis in Parkinson s brain with astroglial tracers BU99008.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Scambray - Brain and cognitive correlates of social status across race ethnicity and sex.pdf,November,Yes,sex-aware main focus,gender; sex,gender; sex,2
Alzheimer s   Dementia - 2025 - Subramaniam - Prevalence of dementia in Singapore  Changes across a decade.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tablante - The role of bilingualism on functional decline and neurodegeneration in distinct.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tabrizi - Systemic Piezo1 activation improves cerebrovascular function in Alzheimer s.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Walter - Being brave  being seen  and having your voice heard   Perspectives of.pdf,November,Yes,sex-aware consideration,none,menopause,1
Alzheimer s   Dementia - 2025 - Woo - APOE  4 carriership determines a faster plasma p‐tau217 progression in A ‐positive.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wyatt‐Johnson - The MR1 MAIT cell axis enhances dystrophic neurite development in Alzheimer.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wyman‐Chick - Neuropsychological test performance in mild cognitive impairment with Lewy.pdf,November,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Xia - Mesial temporal tau pathology impacts basal forebrain degeneration in early Alzheimer.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Xie - A multi‐cohort study of longitudinal and cross‐sectional Alzheimer s disease.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Xie - Neural deterioration and compensation in visual short‐term memory among individuals.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yang - PAK1 inhibitor NVS‐PAK1‐1 preserves dendritic spines in amyloid tau exposed neurons.pdf,November,Yes,sex-aware consideration,none,estrogen; sex differences; sex specific; sex-specific,4
Alzheimer s   Dementia - 2025 - Ye - Degenerative pathologies on cortical biopsy  dopaminergic depletion  and shunt.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yeo - Dual sensory impairment  Global prevalence  future projections  and its association.pdf,November,Yes,sex-aware consideration,none,gender-specific,1
Alzheimer s   Dementia - 2025 - Zhang - Associations between cerebral blood transit time  amyloid‐  pathology and cognitive.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zhang - Epigenetic clocks and longitudinal plasma biomarkers of Alzheimer s disease.pdf,November,Yes,sex-aware consideration,none,estrogen,1
Alzheimer s   Dementia - 2026 - Afrooz - The impact of sex on clinical profiles of patients with behavioral variant.pdf,November,Yes,sex-aware main focus,sex,sex; sex differences; sex interaction; sex-specific,4
Alzheimer s   Dementia - 2026 - Bacci - The association of Alzheimer s disease and related dementias blood‐based biomarkers.pdf,November,Yes,sex-aware consideration,none,sex differences; sex interaction; sex-stratified; stratified by sex,4
Alzheimer s   Dementia - 2026 - Gutierrez - Evaluating segregated school attendance as a mediator of geographic inequities.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2026 - Hauger - A blood based mitochondrial functional index biomarker for Alzheimer s disease.pdf,November,Yes,sex-aware consideration,none,menopause; sex specific,2
Alzheimer s   Dementia - 2026 - He - Association between basal forebrain volume and age in the presenilin‐1 E280A autosomal.pdf,November,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2026 - Herd - Early‐life influences on the risk for later‐life Alzheimer s and non‐Alzheimer s.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2026 - Li - Spatial and temporal effects of cortical cerebral microinfarcts on the cortical and.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2026 - Lin - A vision language foundation model for Alzheimer s disease diagnosis using MRI and.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2026 - Oh - Apathy  depression  and dementia risk in older adults  A global collaborative study.pdf,November,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2026 - Stiver - Sleep duration promotes resistance and resilience to tau in older women at risk.pdf,November,Yes,sex-aware consideration,none,female-specific; male-specific; menopause; sex differences; sex-specific,5
Alzheimer s   Dementia - 2026 - Wu - Single‐cell landscape of sex‐specific drivers of Alzheimer s disease.pdf,November,Yes,sex-aware main focus,sex,estrogen; female-specific; male-specific; sex; sex differences; sex interaction; sex specific; sex-specific; sex-stratified,9
Alzheimer s   Dementia - 2026 - Zhang - Six‐month follow‐up of ARIA‐H and iron deposition in real‐world lecanemab therapy.pdf,November,No,none,none,,0
Alzheimer s   Dementia - 2025 - Agrawal - Hippocampal neuronal loss and cognitive decline in LATE‐NC and ADNC among.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ashton - Biomarker discovery in Alzheimer s and neurodegenerative diseases using Nucleic.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Balabin - Natural language processing‐based classification of early Alzheimer s disease.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Beydoun - Plasma proteomic biomarkers as mediators or moderators for the association.pdf,December,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Boyle - Scam susceptibility is associated with a markedly accelerated onset of Alzheimer s.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Brinkley - The U S  POINTER neurovascular ancillary study  Study design and methods.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Carlos - White matter hyperintensities and TDP‐43 pathology in Alzheimer s disease.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Identification of risk factors and development of a predictive nomogram for.pdf,December,Yes,sex-aware consideration,none,sex differences; testosterone,2
Alzheimer s   Dementia - 2025 - Cho - Functional insight into East Asian specific genetic risk loci for Alzheimer s disease.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chong - Clinical utility of plasma p‐tau217 in identifying abnormal brain amyloid burden in.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cleary - Neuron‐derived extracellular vesicles as a liquid biopsy for brain insulin.pdf,December,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Cody - Accuracy of plasma biomarkers to detect Alzheimer s disease proteinopathy prior to.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Coleman - Massive changes in gene expression and their cause s  can be a unifying principle.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cotelli - Predicting survival rate by plasma biomarkers and clinical variables in syndromes.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Dave - Unlocking ocular biomarkers for early detection of Alzheimer s disease.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - De Vito - Parallel changes in cognition  neuropsychiatric symptoms  and amyloid in.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Doecke - Diagnostic performance of plasma A 42 40 ratio  p‐tau181  GFAP  and NfL along the.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Duggan - The Dementia SomaSignal Test  dSST   A plasma proteomic predictor of 20‐year.pdf,December,Yes,sex-aware consideration,none,sex-stratified,1
Alzheimer s   Dementia - 2025 - Elyaman - Exploring the role of T cells in Alzheimer s and other neurodegenerative diseases.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ercan - Platelets mirror changes in the frontal lobe antioxidant system in Alzheimer s.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Fang - Prevalence of idiopathic normal pressure hydrocephalus in older adult population in.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Farina - An evaluation of a community dementia screening program in rural Kenya  DEM‐SKY.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Feng - Inhibition of IFITM3 in cerebrovascular endothelium alleviates Alzheimer s‐related.pdf,December,Yes,sex-aware consideration,none,estrogen,1
Alzheimer s   Dementia - 2025 - Gabel - Current practices by Alzheimer s Disease Research Centers to remunerate research.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gao - Pathological angiogenesis was associated with cerebrovascular lesion and.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Giovane - Remote cognitive tests predict neurodegenerative biomarkers in the Insight 46.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gonay - Developing machine‐learning‐based amyloidogenicity predictors with Cross‐Beta DB.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Han - Transcriptome analysis of early‐ and late‐onset Alzheimer s disease in Korean cohorts.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Haye - Role of PCPs in diagnosing dementia in traditional Medicare and Medicare Advantage.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hoevenaar‐Blom - Mediation of modifiable risk factors in two multidomain dementia.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hughes - GABAergic modulation of beta power enhances motor adaptation in frontotemporal.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Jang - Differential roles of Alzheimer s disease plasma biomarkers in stepwise.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Karakatsani - Multimodal imaging of murine cerebrovascular dynamics induced by transcranial.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kennedy - Decoding brain structure to stage Alzheimer s disease pathology in Down syndrome.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kolobaric - Altered triple network model connectivity is associated with cognitive function.pdf,December,Yes,sex-aware consideration,none,sex differences; sex-specific,2
Alzheimer s   Dementia - 2025 - Kouhsar - A brain DNA co‐methylation network analysis of psychosis in Alzheimer s disease.pdf,December,Yes,sex-aware consideration,none,gender-specific,1
Alzheimer s   Dementia - 2025 - Lan - Plasma N‐terminal tau fragment is an amyloid‐dependent biomarker in Alzheimer s.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lee - Semantic variant primary progressive aphasia with ANXA11 p D40G.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Leuzy - Considerations in the clinical use of amyloid PET and CSF biomarkers for Alzheimer.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liu - Usage patterns of cognitive assessments during Medicare s Annual Wellness Visit  A.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ma - Unraveling the bidirectional link between cancer and dementia and the impact of cancer.pdf,December,Yes,sex-aware consideration,none,estrogen; testosterone,2
Alzheimer s   Dementia - 2025 - Mahoney - Visual‐somatosensory integration as a novel behavioral marker of amyloid.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mak - Influence of alpha‐synuclein on glucose metabolism in Alzheimer s disease continuum .pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Memel - Sex differences in the clinical manifestation of autosomal dominant frontotemporal.pdf,December,Yes,sex-aware main focus,sex; sex differences,estrogen; female-specific; male-specific; menopause; sex; sex differences; sex-specific,7
Alzheimer s   Dementia - 2025 - Menon - Prevalence of subjective cognitive decline and its association with physical health.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Meza - Offspring education and cognitive health  A comparison between Hispanic and White.pdf,December,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Moon - South Korean study to prevent cognitive impairment and protect brain health through.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mostert - Investing in equitable healthy aging  Why Africa must reform social pension.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Myrstad - Hearing and cognitive scores measured with the Montreal Cognitive Assessment.pdf,December,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Nichols - The association between adult child education and cognitive functioning among.pdf,December,Yes,sex-aware consideration,none,gender-specific; stratified by gender,2
Alzheimer s   Dementia - 2025 - Pezzoli - Cognitive aging outcomes are related to both tau pathology and maintenance of.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ren - Long‐range inputome of prefrontal GABAergic interneurons in the Alzheimer s disease.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rogers - Unraveling temporal patterns of diagnostic markers and comorbidities in Alzheimer.pdf,December,Yes,sex-aware consideration,none,stratified by sex,1
Alzheimer s   Dementia - 2025 - Schneider - Linking higher amyloid beta 1‐38  A  1‐38   levels to reduced Alzheimer s.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sewell - Unraveling the transcriptomic landscape of brain vascular cells in dementia  A.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sönmez - An unsupervised learning approach for clustering joint trajectories of Alzheimer s.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wakawa - Dementia in a resource‐constrained sub‐Saharan African setting  A comprehensive.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wen - Nutrition  A non‐negligible factor in the pathogenesis and treatment of Alzheimer s.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Xu - Long non‐coding RNAs as key regulators of neurodegenerative protein aggregation.pdf,December,Yes,sex-aware consideration,none,estrogen,1
Alzheimer s   Dementia - 2025 - Xu - Tracer kinetic model detecting heterogeneous blood brain barrier permeability to water.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yakoub - Plasma p‐tau217 identifies cognitively normal older adults who will develop.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zamani - Mapping amyloid beta predictors of entorhinal tau in preclinical Alzheimer s.pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zeng - Novel plasma biomarkers of amyloid plaque pathology and cortical thickness .pdf,December,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zhang - Blood DNA methylation signature for incident dementia  Evidence from longitudinal.pdf,December,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Zhong - Plasma p‐tau217 and p‐tau217 A 1‐42 are effective biomarkers for identifying CSF‐.pdf,December,No,none,none,,0
